Fecha,Precio,Apertura,Maximo,Minimo,Cambio
01/01/2023,"4,859.00","4,848.00","5,008.88","4,818.11",0.25%
12/25/2022,"4,847.00","4,729.00","4,851.90","4,727.21",2.51%
12/18/2022,"4,728.33","4,790.26","4,790.63","4,727.79",-1.19%
12/11/2022,"4,785.51","4,809.85","4,861.00","4,757.65",-0.43%
12/04/2022,"4,806.00","4,771.54","4,843.88","4,765.20",0.78%
11/27/2022,"4,768.60","4,882.50","4,882.50","4,747.93",-1.91%
11/20/2022,"4,861.60","4,997.19","5,003.44","4,859.00",-2.46%
11/13/2022,"4,984.25","4,805.73","5,041.45","4,767.21",3.81%
11/06/2022,"4,801.10","5,096.59","5,123.13","4,781.43",-5.62%
10/30/2022,"5,087.00","4,835.00","5,118.17","4,829.75",5.49%
10/23/2022,"4,822.08","4,918.10","5,003.58","4,760.04",-1.72%
10/16/2022,"4,906.35","4,698.00","4,960.13","4,682.00",4.57%
10/09/2022,"4,692.13","4,620.00","4,702.00","4,548.25",1.69%
10/02/2022,"4,614.13","4,610.00","4,659.89","4,462.04",0.22%
09/25/2022,"4,604.13","4,438.50","4,616.25","4,436.73",3.87%
09/18/2022,"4,432.63","4,435.20","4,463.19","4,364.53",-0.06%
09/11/2022,"4,435.20","4,351.24","4,450.79","4,322.24",1.89%
09/04/2022,"4,353.00","4,486.50","4,504.90","4,350.75",-2.98%
08/28/2022,"4,486.50","4,401.11","4,510.30","4,351.10",1.94%
08/21/2022,"4,401.11","4,377.00","4,446.30","4,345.25",0.55%
08/14/2022,"4,377.00","4,163.18","4,447.59","4,156.18",5.17%
08/07/2022,"4,162.01","4,341.57","4,353.26","4,155.01",-4.21%
07/31/2022,"4,345.10","4,287.00","4,360.00","4,220.01",1.36%
07/24/2022,"4,287.00","4,462.65","4,485.15","4,238.50",-3.99%
07/17/2022,"4,465.00","4,361.35","4,471.75","4,282.35",2.43%
07/10/2022,"4,359.00","4,420.50","4,667.42","4,349.00",-1.39%
07/03/2022,"4,420.50","4,205.05","4,429.39","4,198.55",5.12%
06/26/2022,"4,205.05","4,140.50","4,215.90","4,062.00",1.56%
06/19/2022,"4,140.50","3,907.34","4,159.65","3,907.34",6.03%
06/12/2022,"3,904.99","3,942.05","4,039.55","3,882.95",-1.00%
06/05/2022,"3,944.40","3,775.50","3,946.40","3,762.00",4.47%
05/29/2022,"3,775.50","3,935.85","3,935.85","3,754.70",-4.02%
05/22/2022,"3,933.50","3,972.00","3,996.50","3,892.10",-0.97%
05/15/2022,"3,972.00","4,110.50","4,112.43","3,959.00",-3.37%
05/08/2022,"4,110.50","4,057.75","4,133.00","4,051.05",1.30%
05/01/2022,"4,057.75","3,958.00","4,106.65","3,958.00",2.52%
04/24/2022,"3,958.00","3,859.06","3,999.75","3,855.21",2.64%
04/17/2022,"3,856.01","3,723.01","3,859.01","3,716.70",3.57%
04/10/2022,"3,723.01","3,755.82","3,766.82","3,708.82",-0.90%
04/03/2022,"3,757.01","3,749.05","3,798.01","3,690.01",0.21%
03/27/2022,"3,749.05","3,795.84","3,809.20","3,738.26",-1.20%
03/20/2022,"3,794.65","3,818.76","3,821.65","3,732.01",-0.63%
